Facility ID,LGA Name,Facility Name,Facility_AutoNumber,Street #,Street Name,Street Type,Suburb/Town,Pcode,Melway Ref,VicRoads Ref,Latitude,Longitude,Facility Ownership,Facility Purpose,Facility Category,CFA Safer Place?,Access_,FaciltySportPlayedID,Facility ID,Sports Played,Number of Field/Courts,Field/Surface Type,Age of Facility,Condition of Facility,Facility Upgrade Age,Changerooms,Facility Features,Spectator numbers for seating/shelter,FullAddress,MelwaysVicRoadsRef
ALPINE10924,Alpine Shire Council ,Dederang Recreation reserve,3658,,Kiewa-Valley,Hwy,DEDERANG,3691,,36 B9,-36.475264,147.020525,,,,FALSE,,24678,ALPINE10924,Cricket,1.00,Turf Pitch,,,,,,," Kiewa-Valley Hwy, DEDERANG 3691",36 B9
ALPINE10925,Alpine Shire Council ,Gapsted Recreation reserve,3659,,Lower River,Road,GAPSTED,3737,,49 C2,-36.505019,146.676961,,,,FALSE,,24681,ALPINE10925,Cricket,1.00,Synthetic Pitch,,,,,,," Lower River Road, GAPSTED 3737",49 C2
ALPINE10927,Alpine Shire Council ,Harrietville Recreation reserve,3661,,Charlie Miley,Road,HARRIETVILLE,3741,,662 C4,-36.895455,147.059682,,,,FALSE,,24683,ALPINE10927,Cricket,1.00,Synthetic Pitch,,,,,,," Charlie Miley Road, HARRIETVILLE 3741",662 C4
ALPINE10937,Alpine Shire Council ,Marian College,3664,,O'donnel,Avenue,MYRTLEFORD,3737,,663 D3,-36.552593,146.725872,,,,FALSE,,24712,ALPINE10937,Cricket,1.00,Synthetic Pitch,,,,,,," O'donnel Avenue, MYRTLEFORD 3737",663 D3
ALPINE10935,Alpine Shire Council ,Memorial Park,3665,,Duke ,Street,MYRTLEFORD,3737,,660 C5,-36.555836,146.723887,,,,FALSE,,24708,ALPINE10935,Cricket,1.00,Synthetic Pitch,,,,,,," Duke  Street, MYRTLEFORD 3737",660 C5
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,3668,,Lakeside ,Avenue,MOUNT BEAUTY,3699,,660 H10,-36.739256,147.172162,,,,FALSE,,24687,ALPINE10928,Cricket,1.00,Synthetic Pitch,,,,,,," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
ALPINE10938,Alpine Shire Council ,Mummery Road Oval,3669,,Mummery,Road,MYRTLEFORD,3737,,660 C3,-36.54996,146.724992,,,,FALSE,,24713,ALPINE10938,Cricket,1.00,Synthetic Pitch,,,,,,," Mummery Road, MYRTLEFORD 3737",660 C3
ALPINE5519,Alpine Shire Council,Pioneer Park Recreation Reserve,5519,,Coronation,Avenue,BRIGHT,3741,,661 P4,-36.737199,146.973353,,,,FALSE,,27854,ALPINE5519,Cricket,1.00,Synthetic Pitch,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
ALPINE10932,Alpine Shire Council ,RC McNamara Reserve,3676,,Lewis ,Avenue,MYRTLEFORD,3737,,660 B7,-36.567524,146.723777,,,,FALSE,,24703,ALPINE10932,Cricket,1.00,Turf Pitch,,,,,,," Lewis  Avenue, MYRTLEFORD 3737",660 B7
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24695,ALPINE10930,Cricket (Indoor),1.00,,,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE5428,Alpine Shire Council,Big Hill MTB Park,5428,,,,,,,,-36.742701,147.169347,,,,FALSE,,27683,ALPINE5428,Cycling,,,,,,,,,"  ,  ",
ALPINE11307,Alpine Shire Council,Myrtleford Recreation Reserve,4698,,Yackandandah ,Road,MYRTLEFORD,3737,,,-36.543428,146.738124,,,,FALSE,,26752,ALPINE11307,Equestrian,,,,,,,,," Yackandandah  Road, MYRTLEFORD 3737",
ALPINE5519,Alpine Shire Council,Pioneer Park Recreation Reserve,5519,,Coronation,Avenue,BRIGHT,3741,,661 P4,-36.737199,146.973353,,,,FALSE,,27852,ALPINE5519,Equestrian,,,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
ALPINE10920,Alpine Shire Council ,Bright Sports Centre,3654,,Gavan,Street,BRIGHT,3741,,661 N3,-36.728695,146.958053,,,,FALSE,,24672,ALPINE10920,Fitness / Gymnasium Workouts,1.00,,,,,,,," Gavan Street, BRIGHT 3741",661 N3
ALPINE10921,Alpine Shire Council ,Bright Golf Club,3651,,Back Porepunkak,Road,BRIGHT,3741,,661 N2,-36.711338,146.935086,,,,FALSE,,24674,ALPINE10921,Golf,1.00,18 Hole Course - Public,,,,,,," Back Porepunkak Road, BRIGHT 3741",661 N2
ALPINE10922,Alpine Shire Council ,Dederang Golf Course,3657,,Kiewa-Valley,Hwy,DEDERANG,3691,,36 B9,-36.478094,147.02098,,,,FALSE,,24675,ALPINE10922,Golf,1.00,9 Hole Course - Public,,,,,,," Kiewa-Valley Hwy, DEDERANG 3691",36 B9
ALPINE10929,Alpine Shire Council ,Mount Beauty Golf Club,3666,,Tawonga ,Cresent,MOUNT BEAUTY,3699,,660 G12,-36.737378,147.179398,,,,FALSE,,24691,ALPINE10929,Golf,1.00,18 Hole Course - Public,,,,,,," Tawonga  Cresent, MOUNT BEAUTY 3699",660 G12
ALPINE10933,Alpine Shire Council ,Myrtleford Golf Course,3670,,Myrtleford-Yakandanda,Road,MYRTLEFORD,3737,,660 B4,-36.541407,146.728312,,,,FALSE,,24705,ALPINE10933,Golf,1.00,18 Hole Course - Public,,,,,,," Myrtleford-Yakandanda Road, MYRTLEFORD 3737",660 B4
ALPINE11452,Alpine Shire Council ,Bright Community Stadium,5131,,Deacon,Avenue,BRIGHT  ,3741,,,,,,,,FALSE,,27299,ALPINE11452,Gymnastics,,,,,,,,," Deacon Avenue, BRIGHT   3741",
ALPINE11495,Alpine Shire Council ,Mt Beauty Community Stadium,5132,,Pool,Road,MOUNT BEAUTY,3699,,,,,,,,FALSE,,27300,ALPINE11495,Gymnastics,,,,,,,,," Pool Road, MOUNT BEAUTY 3699",
