Facility ID,LGA Name,Facility Name,Facility_AutoNumber,Street #,Street Name,Street Type,Suburb/Town,Pcode,Melway Ref,VicRoads Ref,Latitude,Longitude,Facility Ownership,Facility Purpose,Facility Category,CFA Safer Place?,Access_,FaciltySportPlayedID,Facility ID,Sports Played,Number of Field/Courts,Field/Surface Type,Age of Facility,Condition of Facility,Facility Upgrade Age,Changerooms,Facility Features,Spectator numbers for seating/shelter,FullAddress,MelwaysVicRoadsRef
GANNAW8867,Gannawarra Shire Council,Quambatook Recreation Reserve,3099,,Boort,Road,QUAMBATOOK,3540,,20 A7,-35.850956,143.526378,Privately Owned,Sport,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23797,GANNAW8867,Netball,1.00,Synthetic,,5. Very Good,,,"Canteen / Kiosk, Community Meeting Area, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Sports Pavilion / Clubrooms, Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Facilities",," Boort Road, QUAMBATOOK 3540",20 A7
GANNAW8846,Gannawarra Shire Council,Riverside Park Sports Reserve,3102,,Wyndham,Street,KERANG,3579,,592 B4,-35.731567,143.911641,Privately Owned,Both,A municipality facility that serves the whole of a council area,FALSE,Sports Pavilion / Clubrooms,23758,GANNAW8846,Netball,2.00,Asphalt,,,,"Female, Male, Umpire/Officials","Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Grandstand, Liquor License / Bar, Office Facilities, Sports Pavilion / Clubrooms, Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Facilities",," Wyndham Street, KERANG 3579",592 B4
GANNAW11012,Gannawarra Shire Council,Wandella Recreation Reserve,3105,,Wandella,Road,WANDELLA,3579,,,-35.749376,143.852395,Privately Owned,Sport,A municipality facility that serves the whole of a council area,FALSE,,23723,GANNAW11012,Netball,,,,4. Good,,"Female, Male, Umpire/Officials","Canteen / Kiosk, Flood Lighting (50 - 99 Lux), Grandstand, Liquor License / Bar, Office Facilities, Sports Pavilion / Clubrooms, Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Facilities",," Wandella Road, WANDELLA 3579",
GANNAW8864,Gannawarra Shire Council,Kerang Basketball Centre,3072,,Maxwell,Street,KERANG,3579,,,-35.851678,143.52531,Privately Owned,Both,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23792,GANNAW8864,Netball (Indoor),,,,,,"Female, Male","Canteen / Kiosk, Community Meeting Area, Grandstand, Liquor License / Bar, Office Facilities, Toilets (Within Sports Pavilion / Clubrooms)",," Maxwell Street, KERANG 3579",
GANNAW8847,Gannawarra Shire Council,Lake Charm,3083,,Lake Charm,Road,LAKE CHARM,,,,-35.604117,143.818022,State Government Owned,,,FALSE,,23760,GANNAW8847,Sailing,,,,,,,"Sports Pavilion / Clubrooms, Toilets (Outdoor - Public)",," Lake Charm Road, LAKE CHARM ",
GANNAW11185,Gannawarra Shire Council,Kerang Pistol Club,5034,,Wyndham,Street,KERANG,3579,,,-35.729994,143.908646,,,,FALSE,,27200,GANNAW11185,Shooting Sports,,,,,,,,," Wyndham Street, KERANG 3579",
GANNAW11001,Gannawarra Shire Council,Kerang Shooters Club,3076,,Kerang-Quambatook,Road,KERANG,3579,,,-35.7346,143.8671,Privately Owned,Both,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23718,GANNAW11001,Shooting Sports,,,,,,,,," Kerang-Quambatook Road, KERANG 3579",
GANNAW11179,Gannawarra Shire Council,SSAA Cohuna Pistol Club,5035,,Mill,Road,COHUNA,3568,,,-35.800406,144.228074,,,,FALSE,,27199,GANNAW11179,Shooting Sports,,,,,,,,," Mill Road, COHUNA 3568",
GANNAW11025,Gannawarra Shire Council,Atkinson Park,2892,,Bendigo,Road,KERANG,3579,,,-35.736224,143.915086,Local Government Owned,Recreation,A regional facility that serves the needs of the residents of a number of council areas,FALSE,,23727,GANNAW11025,Skating,,,,3. Average,,,,," Bendigo Road, KERANG 3579",
GANNAW8838,Gannawarra Shire Council,Cohuna Education Community Activity Centre,2895,,King George,Street,COHUNA,3568,,590 J11,-35.811551,144.22459,Privately Owned,Both,A municipality facility that serves the whole of a council area,TRUE,,23744,GANNAW8838,Soccer (Indoor Soccer / Futsal),2.00,Wooden Flooring,,,,,"Community Meeting Area, Grandstand, Toilets (Disabled), Toilets (Within Sports Pavilion / Clubrooms)",," King George Street, COHUNA 3568",590 J11
GANNAW5600,Gannawarra Shire Council,Cohuna Caravan Park,5600,58,Cohuna Island,Road,COHUNA,3568,,,-35.804,144.227,,,,FALSE,,27986,GANNAW5600,Squash / Racquetball,,,,,,,,,"58 Cohuna Island Road, COHUNA 3568",
GANNAW8835,Gannawarra Shire Council,Cohuna Swimming Pool,3070,,Tennis,Road,COHUNA,3568,,590 J10,-35.807018,144.221199,Local Government Owned,Both,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23734,GANNAW8835,Swimming,3.00,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool",,2. Poor,,"Female, Male","Canteen / Kiosk, Toilets (Outdoor - Public)",," Tennis Road, COHUNA 3568",590 J10
GANNAW8842,Gannawarra Shire Council,Kerang Swimming Pool,3077,,Shadford,Street,KERANG,3579,,592 B4,-35.733526,143.915405,Local Government Owned,Both,A municipality facility that serves the whole of a council area,FALSE,,23749,GANNAW8842,Swimming,3.00,"25m Pool - Outdoor, 50m Pool - Outdoor, Toddlers Pool",26 - 50 Years,4. Good,,"Female, Male","Canteen / Kiosk, Flood Lighting (50 - 99 Lux), Office Facilities, Toilets (Outdoor - Public)",," Shadford Street, KERANG 3579",592 B4
GANNAW8849,Gannawarra Shire Council,Koondrook Swimming Pool,3080,,Thompson,Street,KOONDROOK,3580,,591 R9,-35.642613,144.12885,Privately Owned,Both,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23763,GANNAW8849,Swimming,3.00,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool",,5. Very Good,,"Female, Male","Canteen / Kiosk, Flood Lighting (50 - 99 Lux), Office Facilities, Toilets (Within Sports Pavilion / Clubrooms)",," Thompson Street, KOONDROOK 3580",591 R9
GANNAW8856,Gannawarra Shire Council,Leitchville War Memorial Swimming Pool,3092,2A,King George,Street,LEITCHVILLE,3567,,21 F8,-35.90351,144.301495,Local Government Owned,Both,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23775,GANNAW8856,Swimming,2.00,"25m Pool - Outdoor, Childrens Learning Pool",,5. Very Good,< 1 Years,"Female, Male","Canteen / Kiosk, Flood Lighting (50 - 99 Lux), Office Facilities, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms)",,"2A King George Street, LEITCHVILLE 3567",21 F8
GANNAW8843,Gannawarra Shire Council,Patchell Plaza Warm Water Pool,3078,45,Patchell,Street,KERANG,3579,,592 D2,-35.722491,143.926195,Local Government Owned,Recreation,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23750,GANNAW8843,Swimming,1.00,Rehabilitation Pool,,,,"Female, Male","Parking Bay(s) for the disabled, Toilets (Disabled), Toilets (Outdoor - Public)",,"45 Patchell Street, KERANG 3579",592 D2
GANNAW8863,Gannawarra Shire Council,Quambatook Swimming Pool,3100,,River,Street,QUAMBATOOK,3540,,20 A7,-35.850912,143.523524,Local Government Owned,Both,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23789,GANNAW8863,Swimming,2.00,"25m Pool - Outdoor, Childrens Learning Pool",26 - 50 Years,3. Average,,"Female, Male","Canteen / Kiosk, Toilets (Within Sports Pavilion / Clubrooms)",," River Street, QUAMBATOOK 3540",20 A7
GANNAW11015,Gannawarra Shire Council,Beauchamp Tennis Club,2893,,Mystic Park-Beauchamp,Road,BEAUCHAMP,3579,,,-35.612593,143.598219,Local Government Owned,Recreation,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23724,GANNAW11015,Tennis (Outdoor),,,,1. Very Poor,,,,," Mystic Park-Beauchamp Road, BEAUCHAMP 3579",
GANNAW8836,Gannawarra Shire Council,Cohuna Lawn Tennis Club,3067,,Tennis,Road,COHUNA,3568,,590 J10,-35.805962,144.221006,Privately Owned,Sport,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23735,GANNAW8836,Tennis (Outdoor),1.00,Rebound Ace,,,,,"Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Within Sports Pavilion / Clubrooms)",," Tennis Road, COHUNA 3568",590 J10
GANNAW8836,Gannawarra Shire Council,Cohuna Lawn Tennis Club,3067,,Tennis,Road,COHUNA,3568,,590 J10,-35.805962,144.221006,Privately Owned,Sport,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23736,GANNAW8836,Tennis (Outdoor),12.00,Grass,,,,,"Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Within Sports Pavilion / Clubrooms)",," Tennis Road, COHUNA 3568",590 J10
GANNAW8845,Gannawarra Shire Council,Kerang Lawn Tennis Club,3075,,Museum,Drive,KERANG,3579,,592 B5,-35.735695,143.912832,Privately Owned,Both,A regional facility that serves the needs of the residents of a number of council areas,FALSE,Sports Pavilion / Clubrooms,23754,GANNAW8845,Tennis (Outdoor),18.00,Grass,,,,,"Liquor License / Bar, Office Facilities, Sports Pavilion / Clubrooms, Toilets (Within Sports Pavilion / Clubrooms)",," Museum Drive, KERANG 3579",592 B5
GANNAW8845,Gannawarra Shire Council,Kerang Lawn Tennis Club,3075,,Museum,Drive,KERANG,3579,,592 B5,-35.735695,143.912832,Privately Owned,Both,A regional facility that serves the needs of the residents of a number of council areas,FALSE,Sports Pavilion / Clubrooms,23753,GANNAW8845,Tennis (Outdoor),2.00,,,,,,"Flood Lighting (50 - 99 Lux), Liquor License / Bar",," Museum Drive, KERANG 3579",592 B5
GANNAW8850,Gannawarra Shire Council,Koondrook Tennis,3081,,Forest,Street,KOONDROOK,3580,,591 R9,-35.64245,144.129311,Privately Owned,Both,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23764,GANNAW8850,Tennis (Outdoor),3.00,Rebound Ace,,,,,"Sports Pavilion / Clubrooms, Toilets (Within Sports Pavilion / Clubrooms)",," Forest Street, KOONDROOK 3580",591 R9
GANNAW8840,Gannawarra Shire Council,Koroop Road Tennis Courts,3082,,Koroop,Road,GANNAWARRA,3568,,21 D5,-35.73387,144.13375,,,,FALSE,,23747,GANNAW8840,Tennis (Outdoor),,,,,,,,," Koroop Road, GANNAWARRA 3568",21 D5
GANNAW8851,Gannawarra Shire Council,Lake Charm Tennis Courts,3084,,Lake Charm East,Road,LAKE CHARM,3581,,20 E3,-35.609355,143.811479,Privately Owned,Both,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23765,GANNAW8851,Tennis (Outdoor),4.00,Grass,,,,,Community Meeting Area,," Lake Charm East Road, LAKE CHARM 3581",20 E3
GANNAW11033,Gannawarra Shire Council,Lake Meran Tennis Club,3086,,Boort-Kerang,Road,LAKE MERAN,3579,,,-35.867362,143.803305,Local Government Owned,Both,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23729,GANNAW11033,Tennis (Outdoor),4.00,Rebound Ace,,4. Good,,,"Canteen / Kiosk, Toilets (Outdoor - Public)",," Boort-Kerang Road, LAKE MERAN 3579",
GANNAW8853,Gannawarra Shire Council,Lalbert Recreation Reserve,3088,,Evelyn,Street,LALBERT,3542,,19 G4,-35.671546,143.377801,Privately Owned,Both,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23770,GANNAW8853,Tennis (Outdoor),4.00,Rebound Ace,26 - 50 Years,5. Very Good,1 - 5 Years,"Female, Male, Umpire/Officials","Canteen / Kiosk, Childcare Facilities, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Sports Pavilion / Clubrooms, Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Facilities",," Evelyn Street, LALBERT 3542",19 G4
GANNAW8855,Gannawarra Shire Council,Leitchville Tennis Club,3091,,Queen Mary,Avenue,LEITCHVILLE,3567,,21 F8,-35.904711,144.299298,Privately Owned,Both,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23774,GANNAW8855,Tennis (Outdoor),6.00,Grass,,,,,,," Queen Mary Avenue, LEITCHVILLE 3567",21 F8
GANNAW8860,Gannawarra Shire Council,Murrabit Lawn Tennis Club,3095,,Browning,Avenue,MURRABIT,3579,,20 H2,-35.529155,143.952389,Privately Owned,Both,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23782,GANNAW8860,Tennis (Outdoor),1.00,Rebound Ace,,,,,,," Browning Avenue, MURRABIT 3579",20 H2
GANNAW8860,Gannawarra Shire Council,Murrabit Lawn Tennis Club,3095,,Browning,Avenue,MURRABIT,3579,,20 H2,-35.529155,143.952389,Privately Owned,Both,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23783,GANNAW8860,Tennis (Outdoor),9.00,Grass,,,,,,," Browning Avenue, MURRABIT 3579",20 H2
GANNAW8862,Gannawarra Shire Council,Mystic Park Recreation Reserve,3097,,Mystic Park,Road,MYSTIC PARK,3579,,20 D2,-35.555302,143.724847,Local Government Owned,Both,,FALSE,,23788,GANNAW8862,Tennis (Outdoor),,,,1. Very Poor,,,,," Mystic Park Road, MYSTIC PARK 3579",20 D2
GANNAW8866,Gannawarra Shire Council,Quambatook Tennis Courts,3101,27,River,Street,QUAMBATOOK,3540,,20 A7,-35.85046,143.523803,Privately Owned,Recreation,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23794,GANNAW8866,Tennis (Outdoor),8.00,Grass,,3. Average,,,"Sports Pavilion / Clubrooms, Toilets (Within Sports Pavilion / Clubrooms)",,"27 River Street, QUAMBATOOK 3540",20 A7
GANNAW11011,Gannawarra Shire Council,Sandhill Lake Tennis Club,3103,,Lalbert-Kerang,Road,SANDHILL LAKE,3579,,,-35.734382,143.688062,Privately Owned,Both,"A district facility that serves part of, but not the whole of, a council area",FALSE,,23720,GANNAW11011,Tennis (Outdoor),,,,1. Very Poor,,,,," Lalbert-Kerang Road, SANDHILL LAKE 3579",
GANNAW11002,Gannawarra Shire Council,St Patricks Tennis Club,3104,98,Nolan,Street,KERANG,3579,,,-35.725685,143.917331,Privately Owned,Both,"A local facility that serves a small rural locality, township, neighbourhood or suburb",FALSE,,23719,GANNAW11002,Tennis (Outdoor),4.00,Grass,,,,,,,"98 Nolan Street, KERANG 3579",
GANNAW11024,Gannawarra Shire Council,Kangaroo Lake,3071,,Murray Valley,Highway,COHUNA,3568,,,-35.58269,143.768004,Local Government Owned,Recreation,A regional facility that serves the needs of the residents of a number of council areas,FALSE,,23725,GANNAW11024,Water Skiing,,,,,,,Toilets (Outdoor - Public),," Murray Valley Highway, COHUNA 3568",
GANNAW8847,Gannawarra Shire Council,Lake Charm,3083,,Lake Charm,Road,LAKE CHARM,,,,-35.604117,143.818022,State Government Owned,,,FALSE,,23761,GANNAW8847,Water Skiing,,,,,,,"Sports Pavilion / Clubrooms, Toilets (Outdoor - Public)",," Lake Charm Road, LAKE CHARM ",
GANNAW11032,Gannawarra Shire Council,Lake Meran,3085,,Boort-Kerang,Road,LAKE MERAN,3579,,,-35.868962,143.806,Local Government Owned,Recreation,A regional facility that serves the needs of the residents of a number of council areas,FALSE,,23728,GANNAW11032,Water Skiing,,,,,,,Toilets (Outdoor - Public),," Boort-Kerang Road, LAKE MERAN 3579",
GREATE10995,Geelong City Council,Barwon Heads Village Park,2967,,Geelong ,Road,BARWON HEADS,3227,497 B2,,-38.273168,144.493427,,,,FALSE,,22729,GREATE10995,,,,,,,,,," Geelong  Road, BARWON HEADS 3227",497 B2
GREATE11069,Geelong City Council,Hamlyn Park,3033,,Calvert,Street,HAMLYN HEIGHTS,3215,441 F9,,-38.124723,144.331665,,,,FALSE,,22846,GREATE11069,,,,,,,,,," Calvert Street, HAMLYN HEIGHTS 3215",441 F9
GREATE11115,Geelong City Council,Pioneer Reserve (Geelong baseball centre),3129,,Pioneer,Road,GROVEDALE,3216,465 D5,,-38.197257,144.323771,,,,FALSE,,22943,GREATE11115,,,,,,,,,," Pioneer Road, GROVEDALE 3216",465 D5
GREATE11152,Geelong City Council,Waurn Ponds Tennis Club,3165,,Princess,Hwy,WAURN PONDS,3216,464 C8,,-38.207364,144.279841,,,,FALSE,,23022,GREATE11152,,,,,,,,,," Princess Hwy, WAURN PONDS 3216",464 C8
GREATE10986,Geelong City Council,Abe Wood Reserve,2959,,Edgerton,Road,CORIO,3214,431 D3,,-38.056123,144.313125,,,,FALSE,,22711,GREATE10986,Archery,6.00,Outdoor Archery,0 - 5 Years,2. Poor,1 - 5 Years,,"Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public)",0.00," Edgerton Road, CORIO 3214",431 D3
GREATE10996,Geelong City Council,Barwon Heads Village Park,2968,,Geelong ,Road,BARWON HEADS,3227,497 B2,,-38.273168,144.493427,,,,FALSE,,22731,GREATE10996,Athletics,1.00,Grass Running Track,,,,,,," Geelong  Road, BARWON HEADS 3227",497 B2
GREATE11066,Geelong City Council,Goldsworthy reserve Athletics facility,3030,,Goldsworthy,Road,CORIO,3214,431 K9,,-38.078959,144.353257,,,,FALSE,,22834,GREATE11066,Athletics,1.00,Synthetic Running Track,11 - 25 Years,3. Average,,"Female, Male","Canteen / Kiosk, Grandstand, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Facilities",," Goldsworthy Road, CORIO 3214",431 K9
GREATE11081,Geelong City Council,John Landy Athletics field,3042,,Swanston ,Street,SOUTH GEELONG,3220,452 B9,,-38.16615,144.35901,,,,FALSE,,22868,GREATE11081,Athletics,1.00,Synthetic Running Track,26 - 50 Years,3. Average,,"Female, Male","Canteen / Kiosk, Flood Lighting (100 + Lux), Grandstand, Media Facilities, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms), Train",," Swanston  Street, SOUTH GEELONG 3220",452 B9
GREATE10987,Geelong City Council,Anakie Football/Netball Club,2960,,De Motts,Road,ANAKIE,3221,,77 E8,-37.916107,144.252609,,,,FALSE,,22713,GREATE10987,Australian Rules Football,1.00,Grass,26 - 50 Years,1. Very Poor,11 + Years,"Male, Umpire/Officials","Canteen / Kiosk, Community Meeting Area, Cricket Practise Nets, Liquor License / Bar, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubro",," De Motts Road, ANAKIE 3221",77 E8
GREATE10990,Geelong City Council,Bakers Oval,2962,,Shannon ,Avenue,GEELONG WEST,3218,441 F12,,-38.135919,144.338961,,,,FALSE,,22718,GREATE10990,Australian Rules Football,1.00,Grass,26 - 50 Years,2. Poor,,Male,"Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms), Trainer",0.00," Shannon  Avenue, GEELONG WEST 3218",441 F12
GREATE10995,Geelong City Council,Barwon Heads Village Park,2967,,Geelong ,Road,BARWON HEADS,3227,497 B2,,-38.273168,144.493427,,,,FALSE,,22725,GREATE10995,Australian Rules Football,1.00,Grass,6 - 10 Years,4. Good,,Male,"Canteen / Kiosk, Cricket Practise Nets, Liquor License / Bar, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms)",," Geelong  Road, BARWON HEADS 3227",497 B2
GREATE11004,Geelong City Council,Belmont Common North,2976,,Settlement,Road,BELMONT,3216,452 A9,,-38.168098,144.354827,,,,FALSE,,22744,GREATE11004,Australian Rules Football,2.00,Grass,26 - 50 Years,1. Very Poor,,,"Sports Pavilion / Clubrooms, Toilets (Outdoor - Public)",," Settlement Road, BELMONT 3216",452 A9
GREATE11005,Geelong City Council,Breakwater Reserve,2977,,Tanner,Street,BREAKWATER,3219,466 D1,,-38.183678,144.370215,,,,FALSE,,22746,GREATE11005,Australian Rules Football,1.00,Grass,26 - 50 Years,1. Very Poor,,,"Sports Pavilion / Clubrooms, Toilets (Outdoor - Public)",," Tanner Street, BREAKWATER 3219",466 D1
GREATE11007,Geelong City Council,Burdoo Recreation Reserve,2979,,Wingarra,Drive,GROVEDALE,3216,465 E9,,-38.212339,144.328158,,,,FALSE,,22750,GREATE11007,Australian Rules Football,1.00,Grass,11 - 25 Years,4. Good,,"Male, Umpire/Officials","Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Facilities",," Wingarra Drive, GROVEDALE 3216",465 E9
GREATE11017,Geelong City Council,Collendina Recreation reserve,2984,,Minerva,Close,OCEAN GROVE,3226,484 E12,,-38.267278,144.548822,,,,FALSE,,22763,GREATE11017,Australian Rules Football,1.00,Grass,11 - 25 Years,3. Average,,Male,"Canteen / Kiosk, Childcare Facilities, Community Meeting Area, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubro",," Minerva Close, OCEAN GROVE 3226",484 E12
GREATE11032,Geelong City Council,Drysdale Recreation Reserve,2999,,Wyndham,Street,DRYSDALE,3222,238 D9,,-38.175026,144.561327,,,,FALSE,,22786,GREATE11032,Australian Rules Football,1.00,Grass,26 - 50 Years,4. Good,,"Male, Umpire/Officials","Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / ",," Wyndham Street, DRYSDALE 3222",238 D9
GREATE11037,Geelong City Council,Elderslie Reserve,3004,,Read,Street,NEWTOWN,3220,451 D2,,-38.141811,144.32511,,,,FALSE,,22798,GREATE11037,Australian Rules Football,1.00,Grass,11 - 25 Years,5. Very Good,,Male,"Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Unisex), Toilets (Within ",," Read Street, NEWTOWN 3220",451 D2
GREATE11038,Geelong City Council,Ervin Reserve,3005,,Richard,Street,NEWCOMB,3219,452 K9,,-38.167309,144.396885,,,,FALSE,,22801,GREATE11038,Australian Rules Football,4.00,Grass,11 - 25 Years,3. Average,,Male,"Canteen / Kiosk, Cricket Practise Nets, Liquor License / Bar, Office Facilities, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Facilities",," Richard Street, NEWCOMB 3219",452 K9
GEELON5453,Geelong City Council,Estuary Estate,5453,293-319,Melaluka,Road,LEOPOLD,,,,-38.202327,144.453856,,,,FALSE,,27720,GEELON5453,Australian Rules Football,1.00,Grass,,4. Good,1 - 5 Years,,,,"293-319 Melaluka Road, LEOPOLD ",
GREATE11067,Geelong City Council,Grinter Reserve,3031,,Coppards,Road,NEWCOMB,3219,453 B12,,-38.179685,144.403662,,,,FALSE,,22835,GREATE11067,Australian Rules Football,1.00,Grass,26 - 50 Years,3. Average,,Male,"Canteen / Kiosk, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Sports Pavilion / Clubrooms, Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Facilities",," Coppards Road, NEWCOMB 3219",453 B12
GREATE11069,Geelong City Council,Hamlyn Park,3033,,Calvert,Street,HAMLYN HEIGHTS,3215,441 F9,,-38.124723,144.331665,,,,FALSE,,22843,GREATE11069,Australian Rules Football,1.00,Grass,26 - 50 Years,3. Average,,"Male, Umpire/Officials","Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / ",," Calvert Street, HAMLYN HEIGHTS 3215",441 F9
GREATE11070,Geelong City Council,Harold Hurst reserve,3034,,Douglass,Street,HERNE HILL,3218,441 E11,,-38.131441,144.327187,,,,FALSE,,22847,GREATE11070,Australian Rules Football,2.00,Grass,11 - 25 Years,2. Poor,,Male,"Canteen / Kiosk, Cricket Practise Nets, Liquor License / Bar, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / Clubrooms)",," Douglass Street, HERNE HILL 3218",441 E11
GREATE11072,Geelong City Council,Herne Hill Reserve,3036,,Finchaven,Street,HERNE HILL,3218,451 E1,,-38.137558,144.325914,,,,FALSE,,22853,GREATE11072,Australian Rules Football,2.00,Grass,26 - 50 Years,3. Average,,"Male, Umpire/Officials","Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / ",," Finchaven Street, HERNE HILL 3218",451 E1
GREATE11072,Geelong City Council,Herne Hill Reserve,3036,,Finchaven,Street,HERNE HILL,3218,451 E1,,-38.137558,144.325914,,,,FALSE,,22852,GREATE11072,Australian Rules Football,2.00,Grass,26 - 50 Years,3. Average,,"Male, Umpire/Officials","Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Within Sports Pavilion / ",," Finchaven Street, HERNE HILL 3218",451 E1
GREATE11073,Geelong City Council,Highton Reserve,3037,,Barrabool,Road,HIGHTON,3216,451 D10,,-38.172014,144.321539,,,,FALSE,,22856,GREATE11073,Australian Rules Football,1.00,Grass,26 - 50 Years,4. Good,,Male,"Canteen / Kiosk, Cricket Practise Nets, Flood Lighting (50 - 99 Lux), Liquor License / Bar, Media Facilities, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Outdoor - Public), Toilets (Unisex)",," Barrabool Road, HIGHTON 3216",451 D10
GREATE11083,Geelong City Council,Kardinia Park (Geelong Cats),3044,,Kilgour,Street ,SOUTH GEELONG,3220,401 E10,,-38.157832,144.352792,,,,FALSE,,22870,GREATE11083,Australian Rules Football,1.00,Grass,26 - 50 Years,5. Very Good,,"Male, Umpire/Officials","Canteen / Kiosk, Flood Lighting (50 - 99 Lux), Grandstand, Liquor License / Bar, Office Facilities, Parking Bay(s) for the disabled, Sports Pavilion / Clubrooms, Toilets (Disabled), Toilets (Within Sports Pavilion / Clubrooms), Trainers / Medical Faciliti",," Kilgour Street , SOUTH GEELONG 3220",401 E10
